eval_session,intro_session,query_count,final_accuracy
0,0,2864,88.163
1,0,2864,87.989
1,1,279,79.57
2,0,2864,87.989
2,1,279,79.928
2,2,287,80.836
3,0,2864,88.059
3,1,279,79.57
3,2,287,77.003
3,3,298,75.839
4,0,2864,87.954
4,1,279,79.57
4,2,287,77.003
4,3,298,75.168
4,4,300,89.667
5,0,2864,87.989
5,1,279,79.928
5,2,287,76.655
5,3,298,75.168
5,4,300,89.667
5,5,298,63.423
6,0,2864,87.849
6,1,279,79.57
6,2,287,76.655
6,3,298,75.168
6,4,300,89.667
6,5,298,63.423
6,6,288,92.014
7,0,2864,87.849
7,1,279,79.57
7,2,287,76.655
7,3,298,75.168
7,4,300,89.667
7,5,298,63.423
7,6,288,91.319
7,7,297,93.939
8,0,2864,87.779
8,1,279,79.928
8,2,287,76.307
8,3,298,75.168
8,4,300,89.667
8,5,298,63.087
8,6,288,90.625
8,7,297,88.889
8,8,295,88.475
9,0,2864,87.709
9,1,279,79.928
9,2,287,76.307
9,3,298,75.168
9,4,300,89.667
9,5,298,63.087
9,6,288,90.625
9,7,297,88.889
9,8,295,87.119
9,9,288,96.181
10,0,2864,87.709
10,1,279,79.57
10,2,287,76.307
10,3,298,75.168
10,4,300,89.667
10,5,298,63.087
10,6,288,90.625
10,7,297,88.889
10,8,295,87.119
10,9,288,96.181
10,10,300,92.667
